date,ab_forecast,abg_forecast,kalman_forecast
2025-06-30,2890.570361624842,2385.636084559453,2990.558622264515
2025-09-30,2986.2529281975744,2495.2709321502157,3087.757054092104
2025-12-31,3081.9354947703064,2657.7853636820078,3184.9554859196933
2026-03-31,3177.618061343039,2873.17937915483,3282.1539177472823
2026-06-30,3273.3006279157707,3141.452978568681,3379.3523495748714
2026-09-30,3368.9831944885027,3462.6061619235625,3476.5507814024604
2026-12-31,3464.6657610612347,3836.6389292194735,3573.7492132300495
2027-03-31,3560.348327633967,4263.551280456414,3670.9476450576385
2027-06-30,3656.0308942066995,4743.343215634384,3768.1460768852276
2027-09-30,3751.7134607794314,5276.014734753385,3865.3445087128166
2027-12-31,3847.3960273521634,5861.565837813415,3962.5429405404057
2028-03-31,3943.0785939248954,6499.996524814473,4059.7413723679947
2028-06-30,4038.7611604976278,7191.306795756564,4156.939804195584
2028-09-30,4134.44372707036,7935.496650639681,4254.138236023173
